tx	gene_id	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
CEP52_000001-T1_mrna	gene-CEP52_000001	693.298	697.439	693.43	708.442	697.267	692.311	695.799	691.283	695.9	698.281	697.005	699.959	700.984	695.255	705.819	693.312
CEP52_000002-T1_mrna	gene-CEP52_000002	735.298	739.439	735.43	750.442	739.267	734.311	737.799	733.283	737.9	740.281	739.005	741.959	742.984	737.255	747.819	735.312
CEP52_000003-T1_mrna	gene-CEP52_000003	861.298	865.439	861.43	876.442	865.267	860.311	863.799	859.283	863.9	866.281	865.005	867.959	868.984	863.255	873.819	861.312
CEP52_000004-T1_mrna	gene-CEP52_000004	606.298	610.439	606.43	621.442	610.267	605.311	608.799	604.283	608.9	611.281	610.005	612.959	613.984	608.255	618.819	606.312
CEP52_000005-T1_mrna	gene-CEP52_000005	279.666	283.7	279.975	294.646	283.597	279.372	281.799	277.77	281.9	284.281	283.4	285.959	286.984	281.255	291.819	279.616
CEP52_000006-T1_mrna	gene-CEP52_000006	185.633	189.527	186.212	199.531	189.224	186.012	189.218	183.809	190.097	190.191	188.288	192.071	194.057	196.955	195.819	185.599
CEP52_000007-T1_mrna	gene-CEP52_000007	1062.298	1066.439	1062.43	1077.442	1066.267	1061.311	1064.799	1060.283	1064.9	1067.281	1066.005	1068.959	1069.984	1064.255	1074.819	1062.312
CEP52_000008-T1_mrna	gene-CEP52_000008	876.298	880.439	876.43	891.442	880.267	875.311	878.799	874.283	878.9	881.281	880.005	882.959	883.984	878.255	888.819	876.312
CEP52_000009-T1_mrna	gene-CEP52_000009	1029.298	1033.439	1029.43	1044.442	1033.267	1028.311	1031.799	1027.283	1031.9	1034.281	1033.005	1035.959	1036.984	1031.255	1041.819	1029.312
CEP52_000010-T1_mrna	gene-CEP52_000010	4104.298	4108.439	4104.43	4119.442	4108.267	4103.311	4106.799	4102.283	4106.9	4109.281	4108.005	4110.959	4111.984	4106.255	4116.819	4104.312
