tx	gene_id	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
CEP52_000001-T1_mrna	gene-CEP52_000001	0	1	5	2	0	0	0	0	0	0	0	1	0	0	0	0
CEP52_000002-T1_mrna	gene-CEP52_000002	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	9
CEP52_000003-T1_mrna	gene-CEP52_000003	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000004-T1_mrna	gene-CEP52_000004	1	7	2	1	1	0	0	0	0	0	0	0	0	0	0	1
CEP52_000005-T1_mrna	gene-CEP52_000005	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CEP52_000006-T1_mrna	gene-CEP52_000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000007-T1_mrna	gene-CEP52_000007	8	10	6	2	3	1	0	0	0	0	0	0	0	0	0	3
CEP52_000008-T1_mrna	gene-CEP52_000008	2	23	9	7	5	2	0	0	0	0	0	0	0	0	0	4
CEP52_000009-T1_mrna	gene-CEP52_000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000010-T1_mrna	gene-CEP52_000010	3	7	4	0	6	0	1	0	0	1	0	0	0	0	0	2
CEP52_000011-T1_mrna	gene-CEP52_000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000012-T1_mrna	gene-CEP52_000012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000013-T1_mrna	gene-CEP52_000013	6	28	17	1	9	0	0	0	0	0	0	1	0	0	0	0
CEP52_000014-T1_mrna	gene-CEP52_000014	3	2	2	0	3	0	0	0	0	0	0	0	0	0	0	1
CEP52_000015-T1_mrna	gene-CEP52_000015	0	7	4	4	3	0	0	0	0	0	0	0	0	0	0	0
CEP52_000016-T1_mrna	gene-CEP52_000016	4	12	5	0	2	0	0	0	0	0	1	1	0	0	0	1
CEP52_000017-T1_mrna	gene-CEP52_000017	14	15	23	6	5	0	0	1	0	0	0	2	0	0	0	0
CEP52_000018-T1_mrna	gene-CEP52_000018	3	10	5	4	7	0	0	0	0	0	0	0	0	0	0	0
CEP52_000019-T1_mrna	gene-CEP52_000019	0	4	3	1	1	0	0	0	0	0	0	3	0	0	0	0
