tx	gene_id	Mycangia_BH1	Mycangia_BH2	Mycangia_BH3	Mycangia_BH4	Mycangia_BH5	Mycangia_EF1	Mycangia_EF2	Mycangia_EF3	Mycangia_EF4	Mycangia_EP1	Mycangia_EP2	Mycangia_EP3	Mycangia_EP4	Mycangia_LP2	Mycangia_LP3	Mycangia_LP4
CEP52_000001-T1_mrna	gene-CEP52_000001	0	7.598451	76.621279	43.182418	0	0	0	0	0	0	0	502.248916	0	0	0	0
CEP52_000002-T1_mrna	gene-CEP52_000002	0	0	0	0	113.137003	0	0	0	0	0	893.970318	0	0	0	0	1147.862768
CEP52_000003-T1_mrna	gene-CEP52_000003	0	12.246865	12.335648	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000004-T1_mrna	gene-CEP52_000004	21.539442	60.76969	35.045428	24.613914	22.842036	0	0	0	0	0	0	0	0	0	0	154.675986
CEP52_000005-T1_mrna	gene-CEP52_000005	0	18.679775	0	0	98.306837	0	0	0	0	0	0	0	0	0	0	0
CEP52_000006-T1_mrna	gene-CEP52_000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000007-T1_mrna	gene-CEP52_000007	98.347727	49.693022	60.011277	28.393394	39.220224	254.914838	0	0	0	0	0	0	0	0	0	264.842916
CEP52_000008-T1_mrna	gene-CEP52_000008	29.805667	138.439483	109.120727	120.111941	79.179061	618.166409	0	0	0	0	0	0	0	0	0	428.075515
CEP52_000009-T1_mrna	gene-CEP52_000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000010-T1_mrna	gene-CEP52_000010	9.545599	9.029271	10.355927	0	20.358579	0	422.115036	0	0	320.849491	0	0	0	0	0	45.699238
CEP52_000011-T1_mrna	gene-CEP52_000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000012-T1_mrna	gene-CEP52_000012	8.119966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000013-T1_mrna	gene-CEP52_000013	30.508906	57.682548	70.333633	5.920828	48.773207	0	0	0	0	0	0	136.527877	0	0	0	0
CEP52_000014-T1_mrna	gene-CEP52_000014	37.952192	10.22628	20.585022	0	40.355652	0	0	0	0	0	0	0	0	0	0	90.846503
CEP52_000015-T1_mrna	gene-CEP52_000015	0	100.946211	116.920756	161.674697	113.834781	0	0	0	0	0	0	0	0	0	0	0
CEP52_000016-T1_mrna	gene-CEP52_000016	48.624587	58.968094	49.450857	0	25.855829	0	0	0	0	0	612.843704	325.223867	0	0	0	87.294879
CEP52_000017-T1_mrna	gene-CEP52_000017	312.371617	134.86015	417.479277	152.848605	118.280345	0	0	561.82095	0	0	0	1187.763477	0	0	0	0
CEP52_000018-T1_mrna	gene-CEP52_000018	104.370284	139.651139	141.502586	156.705719	257.248413	0	0	0	0	0	0	0	0	0	0	0
CEP52_000019-T1_mrna	gene-CEP52_000019	0	20.39353	30.78807	14.561601	13.413053	0	0	0	0	0	0	1012.190495	0	0	0	0
CEP52_000020-T1_mrna	gene-CEP52_000020	0	0	25.845722	0	22.533122	0	0	0	0	0	0	0	0	0	0	0
CEP52_000021-T1_mrna	gene-CEP52_000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000022-T1_mrna	gene-CEP52_000022	53.492298	21.362847	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000023-T1_mrna	gene-CEP52_000023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000024-T1_mrna	gene-CEP52_000024	16.04686	22.762328	9.792526	0	0	83.134003	0	0	0	0	0	0	0	0	0	28.808901
CEP52_000025-T1_mrna	gene-CEP52_000025	12.347505	20.003249	40.185854	21.539356	13.155252	0	0	155.067112	0	0	0	0	0	0	0	44.33481
CEP52_000026-T1_mrna	gene-CEP52_000026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000027-T1_mrna	gene-CEP52_000027	18.060211	12.191413	14.69459	7.002299	6.414189	0	0	0	0	0	0	0	0	0	0	0
CEP52_000028-T1_mrna	gene-CEP52_000028	48.448681	49.025509	45.98905	56.220496	51.588337	0	2140.440469	202.875089	0	0	0	0	0	0	0	173.95892
CEP52_000029-T1_mrna	gene-CEP52_000029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000030-T1_mrna	gene-CEP52_000030	0	0	0	0	0	0	0	0	0	0	0	477.681028	0	0	0	128.589572
CEP52_000031-T1_mrna	gene-CEP52_000031	122.685487	96.850429	0	131.571811	258.671913	0	0	0	0	0	0	0	0	0	0	0
CEP52_000032-T1_mrna	gene-CEP52_000032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000033-T1_mrna	gene-CEP52_000033	70.54959	56.836816	95.658319	53.629013	49.850038	0	3107.825304	0	0	0	0	0	0	0	0	844.407291
CEP52_000034-T1_mrna	gene-CEP52_000034	0	3.778744	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP52_000035-T1_mrna	gene-CEP52_000035	0	10.476141	5.262027	7.518581	6.889721	0	0	0	0	0	0	0	0	0	0	0
