RTE85386.1	BHE90_000001
RTE85385.1	BHE90_000002
RTE85384.1	BHE90_000003
RTE85383.1	BHE90_000004
RTE85382.1	BHE90_000005
RTE85381.1	BHE90_000006
RTE85380.1	BHE90_000007
RTE85379.1	BHE90_000008
RTE85378.1	BHE90_000009
RTE85276.1	BHE90_000010
RTE85277.1	BHE90_000011
RTE85278.1	BHE90_000012
RTE85279.1	BHE90_000013
RTE85272.1	BHE90_000014
RTE85273.1	BHE90_000015
RTE85274.1	BHE90_000016
RTE85275.1	BHE90_000017
RTE85270.1	BHE90_000018
RTE85271.1	BHE90_000019
RTE85402.1	BHE90_000020
RTE85401.1	BHE90_000021
RTE85403.1	BHE90_000022
RTE85398.1	BHE90_000024
RTE85397.1	BHE90_000025
RTE85400.1	BHE90_000026
RTE85399.1	BHE90_000027
RTE85405.1	BHE90_000028
RTE85404.1	BHE90_000029
RTE85294.1	BHE90_000030
RTE85295.1	BHE90_000031
RTE85292.1	BHE90_000032
RTE85293.1	BHE90_000033
RTE85298.1	BHE90_000034
RTE85299.1	BHE90_000035
RTE85296.1	BHE90_000036
RTE85297.1	BHE90_000037
RTE85290.1	BHE90_000038
RTE85291.1	BHE90_000039
RTE85419.1	BHE90_000040
RTE85418.1	BHE90_000041
RTE85417.1	BHE90_000042
RTE85416.1	BHE90_000043
RTE85423.1	BHE90_000044
RTE85422.1	BHE90_000045
RTE85421.1	BHE90_000046
RTE85420.1	BHE90_000047
RTE85425.1	BHE90_000048
RTE85424.1	BHE90_000049
RTE85305.1	BHE90_000050
RTE85306.1	BHE90_000051
RTE85307.1	BHE90_000052
RTE85308.1	BHE90_000053
RTE85309.1	BHE90_000054
RTE85310.1	BHE90_000055
RTE85311.1	BHE90_000056
RTE85312.1	BHE90_000057
RTE85313.1	BHE90_000058
RTE85314.1	BHE90_000059
RTE85243.1	BHE90_000060
RTE85242.1	BHE90_000061
RTE85245.1	BHE90_000062
RTE85244.1	BHE90_000063
RTE85247.1	BHE90_000064
RTE85246.1	BHE90_000065
RTE85249.1	BHE90_000066
RTE85248.1	BHE90_000067
RTE85241.1	BHE90_000068
RTE85240.1	BHE90_000069
RTE85333.1	BHE90_000070
RTE85334.1	BHE90_000071
RTE85331.1	BHE90_000072
RTE85332.1	BHE90_000073
RTE85329.1	BHE90_000074
RTE85330.1	BHE90_000075
RTE85327.1	BHE90_000076
RTE85328.1	BHE90_000077
RTE85325.1	BHE90_000078
RTE85326.1	BHE90_000079
RTE85257.1	BHE90_000080
RTE85256.1	BHE90_000081
RTE85255.1	BHE90_000082
RTE85254.1	BHE90_000083
RTE85253.1	BHE90_000084
RTE85252.1	BHE90_000085
RTE85251.1	BHE90_000086
RTE85250.1	BHE90_000087
RTE85259.1	BHE90_000088
RTE85258.1	BHE90_000089
RTE85349.1	BHE90_000090
RTE85350.1	BHE90_000091
RTE85351.1	BHE90_000092
RTE85352.1	BHE90_000093
RTE85345.1	BHE90_000094
RTE85346.1	BHE90_000095
RTE85347.1	BHE90_000096
RTE85348.1	BHE90_000097
RTE85353.1	BHE90_000098
RTE85354.1	BHE90_000099
RTE85432.1	BHE90_000100
RTE85433.1	BHE90_000101
RTE85430.1	BHE90_000102
RTE85431.1	BHE90_000103
RTE85428.1	BHE90_000104
RTE85429.1	BHE90_000105
RTE85426.1	BHE90_000106
RTE85427.1	BHE90_000107
RTE85434.1	BHE90_000108
RTE85435.1	BHE90_000109
RTE85336.1	BHE90_000110
RTE85335.1	BHE90_000111
RTE85338.1	BHE90_000112
RTE85337.1	BHE90_000113
RTE85340.1	BHE90_000114
RTE85339.1	BHE90_000115
RTE85342.1	BHE90_000116
RTE85341.1	BHE90_000117
RTE85344.1	BHE90_000118
RTE85343.1	BHE90_000119
RTE85408.1	BHE90_000120
RTE85409.1	BHE90_000121
RTE85410.1	BHE90_000122
RTE85411.1	BHE90_000123
RTE85412.1	BHE90_000124
RTE85413.1	BHE90_000125
RTE85414.1	BHE90_000126
RTE85415.1	BHE90_000127
RTE85406.1	BHE90_000128
RTE85407.1	BHE90_000129
RTE85320.1	BHE90_000130
RTE85319.1	BHE90_000131
RTE85318.1	BHE90_000132
RTE85317.1	BHE90_000133
RTE85324.1	BHE90_000134
RTE85323.1	BHE90_000135
RTE85322.1	BHE90_000136
RTE85321.1	BHE90_000137
RTE85316.1	BHE90_000138
RTE85315.1	BHE90_000139
RTE85389.1	BHE90_000140
RTE85390.1	BHE90_000141
RTE85387.1	BHE90_000142
RTE85388.1	BHE90_000143
RTE85393.1	BHE90_000144
RTE85394.1	BHE90_000145
RTE85391.1	BHE90_000146
RTE85392.1	BHE90_000147
RTE85395.1	BHE90_000148
RTE85396.1	BHE90_000149
RTE85303.1	BHE90_000150
RTE85302.1	BHE90_000151
RTE85261.1	BHE90_000152
RTE85304.1	BHE90_000153
RTE85301.1	BHE90_000154
RTE85300.1	BHE90_000155
RTE85358.1	BHE90_000156
RTE85357.1	BHE90_000157
RTE85356.1	BHE90_000158
RTE85355.1	BHE90_000159
RTE85372.1	BHE90_000160
RTE85373.1	BHE90_000161
RTE85374.1	BHE90_000162
RTE85375.1	BHE90_000163
RTE85368.1	BHE90_000164
RTE85369.1	BHE90_000165
RTE85370.1	BHE90_000166
RTE85371.1	BHE90_000167
RTE85376.1	BHE90_000168
RTE85377.1	BHE90_000169
RTE85287.1	BHE90_000170
RTE85286.1	BHE90_000171
RTE85285.1	BHE90_000172
RTE85284.1	BHE90_000173
RTE85283.1	BHE90_000174
RTE85282.1	BHE90_000175
RTE85281.1	BHE90_000176
RTE85280.1	BHE90_000177
RTE85289.1	BHE90_000178
RTE85288.1	BHE90_000179
RTE85366.1	BHE90_000180
RTE85367.1	BHE90_000181
