# Program:featureCounts v2.0.6; Command:"featureCounts" "-g" "gene_id" "-G" "alt_fungi/GCA_003957675.1_FeuwUCR1854v2_genomic.fna" "-s" "0" "-a" "alt_fungi/genes/GCA_003957675.1_FeuwUCR1854v2_genomic.fixed.gtf" "--tmpDir" "/scratch/jstajich/" "-o" "results/STAR_fungi_expression/Feuw_read_count.tsv" "-F" "GTF" "-T" "24" "-M" "results/STAR_fungi/Feuw_Mycangia_BH1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_BH5Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EF4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP1Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_EP4Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP2Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP3Aligned.out.bam" "results/STAR_fungi/Feuw_Mycangia_LP4Aligned.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/STAR_fungi/Feuw_Mycangia_BH1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_BH5Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EF4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP1Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_EP4Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP2Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP3Aligned.out.bam	results/STAR_fungi/Feuw_Mycangia_LP4Aligned.out.bam
BHE90_000001	MIKF01000001.1	1190	1921	-	732	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
BHE90_000002	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	3448;3578;4091	3516;4012;4312	+;+;+	726	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000003	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	4863;5072;5252;5398;5920	4906;5198;5339;5772;6038	+;+;+;+;+	753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000004	MIKF01000001.1;MIKF01000001.1	6376;6748	6698;6820	+;+	396	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000005	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	7726;8204;8449;8596;8977	8152;8398;8548;8924;9845	+;+;+;+;+	1920	2	8	3	11	4	2	0	0	0	0	0	0	0	0	0	0
BHE90_000006	MIKF01000001.1	10251	10955	+	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000007	MIKF01000001.1	11622	14771	+	3150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000008	MIKF01000001.1	15072	17540	-	2469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000009	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	17849;18214;18385;19001;19335	18160;18315;18945;19170;19557	-;-;-;-;-	1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000010	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	20266;20392;21284;21593	20331;21212;21385;21650	+;+;+;+	1047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000011	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	23366;23805;24072;24258;24413	23755;24013;24210;24357;24690	-;-;-;-;-	1116	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BHE90_000012	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	27833;27938;29089	27884;29030;29347	+;+;+	1404	1	10	2	2	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000013	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	29884;29973;30442;30616;30795;30977;31161;31330;31511	29926;30205;30564;30728;30914;31102;31283;31452;31577	+;+;+;+;+;+;+;+;+	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000014	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	32401;32645;33202	32587;33154;33407	+;+;+	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000015	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	34305;35325;36584;37236;37838	35263;35559;37173;37774;37941	-;-;-;-;-	2427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000016	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	38809;38917;38994;39659;39754;39882;40181;40339;40515;40770;40962	38857;38940;39592;39703;39823;40134;40286;40448;40710;40902;41197	+;+;+;+;+;+;+;+;+;+;+	1821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000017	MIKF01000001.1	41257	41964	-	708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000018	MIKF01000001.1	45491	46990	+	1500	4	29	0	8	6	1	0	2	0	0	0	0	0	0	0	0
BHE90_000019	MIKF01000001.1	47598	47996	+	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000020	MIKF01000001.1;MIKF01000001.1	48677;48998	48946;49132	+;+	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000021	MIKF01000001.1;MIKF01000001.1	49345;49688	49632;49822	+;+	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000022	MIKF01000001.1	50134	51852	+	1719	10	24	22	10	14	0	2	0	0	2	0	0	0	0	0	6
BHE90_000023	MIKF01000001.1	52191	52262	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000024	MIKF01000001.1	52771	53277	+	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000025	MIKF01000001.1;MIKF01000001.1	53497;53789	53741;54974	+;+	1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000026	MIKF01000001.1	56411	57577	+	1167	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000027	MIKF01000001.1	57732	59363	-	1632	4	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
BHE90_000028	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	60155;60581;60887	60529;60828;61064	+;+;+	801	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000029	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	61385;61559;61647;61796;61889;62007;62104;62366;62752;62885	61489;61590;61742;61837;61955;62047;62313;62696;62834;62918	+;+;+;+;+;+;+;+;+;+	1041	8	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000030	MIKF01000001.1	63914	65281	+	1368	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000031	MIKF01000001.1;MIKF01000001.1	65346;65631	65575;65772	-;-	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000032	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	65811;66315;66693;66828	66268;66640;66774;67200	-;-;-;-	1239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000033	MIKF01000001.1;MIKF01000001.1	67891;67938	67895;68811	-;-	879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000034	MIKF01000001.1;MIKF01000001.1	70123;70354	70287;71412	+;+	1224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000035	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	71604;71702;71900;72166;72742;72979;73451	71644;71830;71926;72693;72929;73389;73479	-;-;-;-;-;-;-	1353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000036	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	73850;75878;76388	75821;76329;76519	-;-;-	2556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000037	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	77133;77441;77680	77376;77620;78830	+;+;+	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000038	MIKF01000001.1	79084	80589	-	1506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000039	MIKF01000001.1	81459	81908	+	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000040	MIKF01000001.1	82258	82983	-	726	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
BHE90_000041	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	84054;85311;86114;87094;87260;87423;87630;87762;87844;88117;88239;88745	85261;86060;87037;87211;87375;87581;87715;87796;88064;88184;88699;88954	-;-;-;-;-;-;-;-;-;-;-;-	4356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000042	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	89515;89810;90230;90386;90623;90919;91120	89753;90172;90334;90572;90865;91069;91454	-;-;-;-;-;-;-	1623	6	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0
BHE90_000043	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	92696;92914;93011;93157;93849;93985;94082	92864;92960;93092;93797;93938;94023;94234	-;-;-;-;-;-;-	1221	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
BHE90_000044	MIKF01000001.1;MIKF01000001.1;MIKF01000001.1	94620;94786;95095	94676;95038;95615	+;+;+	831	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
